img_id,width,detections.id,detections.value,detections.geometry
419363189104763,2560,419566082417807,nature--vegetation,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJzCKyGhIIAAcIDw==
419363189104763,2560,419566085751140,nature--vegetation,GjB4AgoGbXB5LW9yKIAgEiEYAwgBIhsJ+gWGL1JiLC4kAw4ZCA8WOQgPDwcbFxUAOQ8=
419363189104763,2560,419566089084473,nature--vegetation,Gix4AgoGbXB5LW9yKIAgEh0YAwgBIhcJ5hmMOEIUHRQACBYQEAN0GzoTAAcdDw==
419363189104763,2560,419566092417806,nature--vegetation,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJyDbwFhIADxgIDw==
419363189104763,2560,419566095751139,nature--vegetation,Gl54AgoGbXB5LW9yKIAgEk8YAwgBIkkJli/MJ4ICCAAEJDoACDEQHSwNCBweLABKBzoEHAMmBw4EMjkIEx0ADQ8IJVALdBMeIQ4PJA8IEzMARxRHABUMHQAVDBUQlwEP
419363189104763,2560,419566099084472,nature--vegetation,GjB4AgoGbXB5LW9yKIAgEiEYAwgBIhsJ7jDUJ1IIDyoFEA4ILBccFxMNQA8QBx0AQQ8=
419363189104763,2560,419566102417805,nature--vegetation,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0JvjjwMBoMHSAAABYP
419363189104763,2560,419566105751138,nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJpBzeKCoOBwgWAywNAAsVDw==
419363189104763,2560,419566109084471,nature--vegetation,GskQeAIKBm1weS1vciiAIBK5EBgDCAEishAJAADqLoBAAADYEScFa18bABceAA4LFgi2AQPMAwMUERZFHhscDwAXEwArECsQbRCxAgB7BykHBxtlFQ0LFQAPExMTABMULQULDhcAIR4fBgMQGw4xMjUADxAnAAcPNQATEC1QBwAADgsIBxwADhAQIAYIHgMkIywXACksGwApJBMkADQIBgAWVRAPFh8ADxwRCBsyACwMFiYWHRwLAAMQCwADDiEedSQbBwsNDWUPBydPMRsjBg8FDRUHKxMNBxUPBw8dAxshFQMVGxsLJQQbJEkcDQoNAB0NDQAjDx0nBSUdDwAADQsVKR0AFRMjYQ0LDj0ACw4HOgsIBwADFQsNIQAnOi0AKyMdBgcmGCQAOgcOBFgPWAh8BxwHAAsWPQgPDh86IRsLAAMHAwADBwMAAwUDAAMHBwADBwMAAwUDAAMHGRUPAAMHBwAHBQcAAwddDQkcBwALFgAmKjoEOgMWGSwHAAccFxYHOgMIAxwHCAQWOQgbDx0WCB4HAAMWTYoBAA4TJAcAABALDgAOCxALKg0QEw4HHhscIToAEAMGEywADgsQAA4LDgAODxYHJh0cBxYLAAMIAxYPFgAqCB4LHB0WBxYPCBMsBwAVJAAeCxYAHAskBNQBCAgIOggGCiwQCChIFEISCAQOFAA+JAA0GF4IABQsHhYQJAgAEBwEQiZQBEoMJANCCxYRBhM0GwALDwAbCwAAQgkOBkgZLAMWAFgMUABIDIQBGkIEKgwQAA4MCBAcBCwHOhM6ADoIFgxgAEgHLARmDDoEZgQOEgUMVgBmCGAYrgEHLBhIAA4MwgIO5AIAFhUAAA0PBy8IBB01BQ8PBCsHBQMzGRsbDy9rUUExBwhdBw0DQQcdFxsZTx9BEw0lSR8VAxMTHREAAw4fEAsUAx4LDgMmGRQHEAAWGxwLAAMVBwUAHQkHCzEEOQ8NJ+ABBw0DiQEIXRAzCxUEIwcNIQ4DDgsIIwAZHSsFFxUtVxcNQQcxKxsFOSsLHQcABxUTBQ8dAA0NFQAVGkcAFQwdCDEATwwrA0kIIwBBFI8BAF8jIw9lCEcIHRANBBUqIzgGDggMFgAOFB4EHAgADBYeAGY0OEBOFhoWCBYYEBgAFiUFuwEGTwgVCEkAOQgbA1cQTxi3BghPDCkKXxXzAg9zDxsfB0UICxwtLBsINSQbMjksHzotLANuCxYADhMWEwARFh8OBx4PFgC8AQigAQc0FQgDDwsFIw4LDQczCQ0HKwODAQRHDEESGwgACxURDgceBwADHBMkOSYjBiUeI1AHAAcWFxYpDg8WRSQ5OrsBSg8cMSwXNAcAFyQPMhUQKwATDwUVExsLMxsVJT8fHQsAGSQPQg8OABAYHAA0CxYAKgMWBwgPABMdIQAnJhMAFRY/BmNCGwAPDRsAGQ83ACEmE1APFgc6ESwfAHkkGRYPJAsADxYxDj8sNVhBBicbDRUnAE0sQQ4LDmkOADEHKw85ER0GIwVlL2sbDzFHjwFHUQcbDgMOGxY1CA8OOQAHDQQ5CBULFQMjBF8LPwAjDCs+JSgIIhUkABAbKhUwACIOBA4YEAQUEBY2ABQQUgdOXRQHLgc4EGxQqAEOKA5COpABDUgbKiUUIwgACDkWKxwVHCsyIwgVAz8DBy0IEysPDwANBwUADwcFFUEEMw4bAE8dOQ8GFwUTHQMVGIkBB0cHDxwjEDkAMxNHDxUVkQEnIwsVAA0LBwcbDQcADQcAIzM5DRsVUR0LOQNVEysAKww5AEEVIw8ICyQPBhs0CQATJAMWDwgDDhcWHQYbJhcGAwU1tQEDTwcPABUlRxMNSQ83CC0eXQcHDSMHKUcPBxMjBwARIyclAwVRSSExAxUAIxY5AEkpkQEAKQwzAzkXI1UGCw0LMQRXCzkNFQBBEhsYBxQIJhUMHQNPKTkDIwQlCBsQFRZPDBU+KwwrHCsEZQNzBxsXHSkIFx0fDUUIGSQDJAsODzofxgEhUC8WHQcTHV0WGwUDFQsPDTEEIwcNABUnSQMVAE8MKwhVAFcTMRMHcwgHDhMGG0ItDg8J9iCYFtIFKgAYFToICA5mDQwbCyUQFQAND9kBA6kCC08XJQcFJQYLFgs0ISwPVhMeAA4TJAcINQcLEBcAKRYvFREdBwAHDQMrEx0ADR85AA0pDw8NDyMtAAsWACwIJA8sB0gHABUkFwgLFgcACx4DMg8OCRYjFh8kDQAHFickMVgHHggsEg4ADggIKAYMFgwAJiYsByIHQAgqFS4HHBscBwMHFAVGAAwOQg4DCAQkFCQSEDgGGAUOFQArBxUPCcYCiBhqCzoAQgRmCCwOFiAAHBUQMwBPFnMxKx8FCwYPCfYQ3yuiBAcIACwQJAgADB4MBhJmQAg2OgwAGCwiHCBCQiwMFgAOOmAYDiYAJBYUHQQrAxUXIwtHACscRwtJC5cBCw8DGykABw4XAAcNJQ0DMxM5CwADDR0VLw8DDQsFBysVIxMPFysPMQAjEDMEIwdtCBslTwsOD2Y5OgtCAEIIHBIWBZIBCkIVOgcADyQHAA8JpxmMC+oBCx4EXgNCDDoUCD4VGBYUJDYGGAUiHRhzAx0PDSE5ADkHIw8HDx0TRwcABxUVBx8sDwALHgQyAxYVHg8JhgrSA1oDOggICiQFLAoABBUkDxg5AxsbKxsADwnfCrQKQgUWCg4ALAgWEAgEIw8VBzMPCbYCBSIDHBgWDh0NEw8JgAGsEUILHghILDImAAg5BysPKQ8PDwnsAimKAQcUCEoHJAA6CA4AHhA6CAgMBwQjDBUAIxJXAF0DKykVFw4P
419363189104763,2560,419566112417804,nature--vegetation,Gk94AgoGbXB5LW9yKIAgEkAYAwgBIjoJmh+UKMoBADEIDQArCB0MFQgAHiYEVg1CEiQYBRhXCAAIHABSCxwXAA8NEyQRCBMdCwALGwcAAzMP
419363189104763,2560,419566115751137,nature--vegetation,GjB4AgoGbXB5LW9yKIAgEiEYAwgBIhsJjCGOLVIgAAwkAywHCCMHCRsXAAcPAxMIBw8=
419363189104763,2560,419566119084470,nature--vegetation,Gix4AgoGbXB5LW9yKIAgEh0YAwgBIhcJANAHQhQICBQIzAEHEAMkADoLJAsADw==
